,TIME,NZ,NY
0,HH:MM:SS.FFF,G's,G's
622, 00:04:50.938,,
623, 00:04:51.000,1.01172,-0.00684
624, 00:04:51.063,,
625, 00:04:51.125,1.01172,-0.00977
626, 00:04:51.188,,
627, 00:04:51.250,1.00781,-0.00977
628, 00:04:51.313,,
629, 00:04:51.375,1.00977,-0.00781
630, 00:04:51.438,,
631, 00:04:51.500,1.01172,-0.00977
632, 00:04:51.563,,
633, 00:04:51.625,1.00781,-0.00684
634, 00:04:51.688,,
635, 00:04:51.750,1.01172,-0.00684
636, 00:04:51.813,,
637, 00:04:51.875,1.01172,-0.00977
638, 00:04:51.938,,
639, 00:04:52.000,1.00977,-0.00781
640, 00:04:52.063,,
641, 00:04:52.125,1.00977,-0.00684
642, 00:04:52.188,,
643, 00:04:52.250,1.01563,-0.00684
644, 00:04:52.313,,
645, 00:04:52.375,1.01172,-0.00781
646, 00:04:52.438,,
647, 00:04:52.500,1.00977,-0.00977
648, 00:04:52.563,,
649, 00:04:52.625,1.01172,-0.00488
650, 00:04:52.688,,
651, 00:04:52.750,1.01172,-0.00684
652, 00:04:52.813,,
653, 00:04:52.875,1.00781,-0.00488
654, 00:04:52.938,,
655, 00:04:53.000,1.00781,-0.00684
656, 00:04:53.063,,
657, 00:04:53.125,1.01367,-0.00684
658, 00:04:53.188,,
659, 00:04:53.250,1.00781,-0.01172
660, 00:04:53.313,,
661, 00:04:53.375,1.00781,-0.00684
662, 00:04:53.438,,
663, 00:04:53.500,1.01172,-0.00488
664, 00:04:53.563,,
665, 00:04:53.625,1.00586,-0.00488
666, 00:04:53.688,,
667, 00:04:53.750,1.01563,-0.00977
668, 00:04:53.813,,
669, 00:04:53.875,1.00391,-0.00684
670, 00:04:53.938,,
671, 00:04:54.000,1.00781,-0.00977
672, 00:04:54.063,,
673, 00:04:54.125,1.00977,-0.00781
674, 00:04:54.188,,
675, 00:04:54.250,1.00977,-0.00488
676, 00:04:54.313,,
677, 00:04:54.375,1.00977,-0.00684
678, 00:04:54.438,,
679, 00:04:54.500,1.00977,-0.00684
680, 00:04:54.563,,
681, 00:04:54.625,1.00977,-0.00977
682, 00:04:54.688,,
683, 00:04:54.750,1.00781,-0.00488
684, 00:04:54.813,,
685, 00:04:54.875,1.01172,-0.00684
686, 00:04:54.938,,
687, 00:04:55.000,1.01172,-0.00977
688, 00:04:55.063,,
689, 00:04:55.125,1.01172,-0.00684
690, 00:04:55.188,,
691, 00:04:55.250,1.00977,-0.00977
692, 00:04:55.313,,
693, 00:04:55.375,1.01172,-0.00684
694, 00:04:55.438,,
695, 00:04:55.500,1.00781,-0.00488
696, 00:04:55.563,,
697, 00:04:55.625,1.00977,-0.00684
698, 00:04:55.688,,
699, 00:04:55.750,1.00977,-0.00977
700, 00:04:55.813,,
701, 00:04:55.875,1.00977,-0.00977
702, 00:04:55.938,,
703, 00:04:56.000,1.01172,-0.00781
704, 00:04:56.063,,
705, 00:04:56.125,1.00781,-0.00684
706, 00:04:56.188,,
707, 00:04:56.250,1.01172,-0.00781
708, 00:04:56.313,,
709, 00:04:56.375,1.01172,-0.00488
710, 00:04:56.438,,
711, 00:04:56.500,1.00977,-0.00488
712, 00:04:56.563,,
713, 00:04:56.625,1.01172,-0.00684
714, 00:04:56.688,,
715, 00:04:56.750,1.01172,-0.00977
716, 00:04:56.813,,
717, 00:04:56.875,1.01367,-0.00781
718, 00:04:56.938,,
719, 00:04:57.000,1.01172,-0.00488
720, 00:04:57.063,,
721, 00:04:57.125,1.00781,-0.00684
722, 00:04:57.188,,
723, 00:04:57.250,1.00977,-0.00391
724, 00:04:57.313,,
725, 00:04:57.375,1.00781,-0.01172
726, 00:04:57.438,,
727, 00:04:57.500,1.01172,-0.00488
728, 00:04:57.563,,
729, 00:04:57.625,1.01172,-0.00684
730, 00:04:57.688,,
731, 00:04:57.750,1.00977,-0.00488
732, 00:04:57.813,,
733, 00:04:57.875,1.00977,-0.00684
734, 00:04:57.938,,
735, 00:04:58.000,1.01172,-0.00488
736, 00:04:58.063,,
737, 00:04:58.125,1.00977,-0.00781
738, 00:04:58.188,,
739, 00:04:58.250,1.01172,-0.00684
